,title,decision,authors
197,Hadamard Product for Low-rank Bilinear Pooling,Accept (Poster),"Jin-Hwa Kim, Kyoung-Woon On, Woosang Lim, Jeonghee Kim, Jung-Woo Ha, Byoung-Tak Zhang"
198,Towards an automatic Turing test: Learning to evaluate dialogue responses,Invite to Workshop Track,"Ryan Lowe, Michael Noseworthy, Iulian V. Serban, Nicolas Angelard-Gontier, Yoshua Bengio, Joelle Pineau"
199,Gated Multimodal Units for Information Fusion,Invite to Workshop Track,"John Arevalo, Thamar Solorio, Manuel Montes-y-Gómez, Fabio A. González"
200,Unsupervised Perceptual Rewards for Imitation Learning,Invite to Workshop Track,"Pierre Sermanet, Kelvin Xu, Sergey Levine"
201, A Theoretical Framework for Robustness of (Deep) Classifiers against Adversarial Samples,Invite to Workshop Track,"Beilun Wang, Ji Gao, Yanjun Qi"
202,Lifelong Perceptual Programming By Example,Invite to Workshop Track,"Alexander L. Gaunt, Marc Brockschmidt, Nate Kushman, Daniel Tarlow"
203,Automated Generation of Multilingual Clusters for the Evaluation of Distributed Representations,Invite to Workshop Track,"Philip Blair, Yuval Merhav, Joel Barry"
204,Shift Aggregate Extract Networks,Invite to Workshop Track,"Francesco Orsini, Daniele Baracchi, Paolo Frasconi"
205,Programming With a Differentiable Forth Interpreter,Invite to Workshop Track,"Matko Bošnjak, Tim Rocktäschel, Jason Naradowsky, Sebastian Riedel"
206,Bit-Pragmatic Deep Neural Network Computing,Invite to Workshop Track,"Jorge Albericio, Patrick Judd, Alberto Delmas, Sayeh Sharify, Andreas Moshovos"
207,Recursive Regression with Neural Networks: Approximating the HJI PDE Solution,Invite to Workshop Track,"Vicenç Rubies Royo, Claire Tomlin"
208,Nonparametrically Learning Activation Functions in Deep Neural Nets,Invite to Workshop Track,"Carson Eisenach, Zhaoran Wang, Han Liu"
209,Generalizable Features From Unsupervised Learning,Invite to Workshop Track,"Mehdi Mirza, Aaron Courville, Yoshua Bengio"
210,Deep Learning with Sets and Point Clouds,Invite to Workshop Track,"Siamak Ravanbakhsh, Jeff Schneider, Barnabas Poczos"
211,Exponential Machines,Invite to Workshop Track,"Alexander Novikov, Mikhail Trofimov, Ivan Oseledets"
212,Song From PI: A Musically Plausible Network for Pop Music Generation,Invite to Workshop Track,"Hang Chu, Raquel Urtasun, Sanja Fidler"
213,Learning to Discover Sparse Graphical Models,Invite to Workshop Track,"Eugene Belilovsky, Kyle Kastner, Gael Varoquaux, Matthew B. Blaschko"
214,Learning to Draw Samples: With Application to Amortized MLE for Generative Adversarial Learning,Invite to Workshop Track,"Dilin Wang, Qiang Liu"
215,Recurrent Normalization Propagation,Invite to Workshop Track,"César Laurent, Nicolas Ballas, Pascal Vincent"
216,Generating Interpretable Images with Controllable Structure,Invite to Workshop Track,"Scott Reed, Aäron van den Oord, Nal Kalchbrenner, Victor Bapst, Matt Botvinick, Nando de Freitas"
217,Fast Chirplet Transform to Enhance CNN Machine Listening - Validation on Animal calls and Speech,Invite to Workshop Track,"Herve Glotin, Julien Ricard, Randall Balestriero"
218,Symmetry-Breaking Convergence Analysis of Certain Two-layered Neural Networks with ReLU nonlinearity,Invite to Workshop Track,Yuandong Tian
219,Efficient Softmax Approximation for GPUs,Invite to Workshop Track,"Édouard Grave, Armand Joulin, Moustapha Cissé, David Grangier, Hervé Jégou"
220,Dataset Augmentation in Feature Space,Invite to Workshop Track,"Terrance DeVries, Graham W. Taylor"
221,Online Structure Learning for Sum-Product Networks with Gaussian Leaves,Invite to Workshop Track,"Wilson Hsu, Agastya Kalra, Pascal Poupart"
222,Neural Taylor Approximations: Convergence and Exploration in Rectifier Networks,Invite to Workshop Track,"David Balduzzi, Brian McWilliams, Tony Butler-Yeoman"
223,Multiplicative LSTM for sequence modelling,Invite to Workshop Track,"Ben Krause, Iain Murray, Steve Renals, Liang Lu"
224,Neural Functional Programming,Invite to Workshop Track,"John K. Feser, Marc Brockschmidt, Alexander L. Gaunt, Daniel Tarlow"
225,Tuning Recurrent Neural Networks with Reinforcement Learning,Invite to Workshop Track,"Natasha Jaques, Shixiang Gu, Richard E. Turner, Douglas Eck"
226,Discovering objects and their relations from entangled scene representations,Invite to Workshop Track,"David Raposo, Adam Santoro, David Barrett, Razvan Pascanu, Timothy Lillicrap, Peter Battaglia"
227,Perception Updating Networks: On architectural constraints for interpretable video generative models,Invite to Workshop Track,"Eder Santana, Jose C Principe"
228,Neural Data Filter for Bootstrapping Stochastic Gradient Descent,Invite to Workshop Track,"Yang Fan, Fei Tian, Tao Qin, Tie-Yan Liu"
229,Surprise-Based Intrinsic Motivation for Deep Reinforcement Learning,Invite to Workshop Track,"Joshua Achiam, Shankar Sastry"
230,Learning in Implicit Generative Models,Invite to Workshop Track,"Shakir Mohamed, Balaji Lakshminarayanan"
231,Adaptive Feature Abstraction for Translating Video to Language,Invite to Workshop Track,"Yunchen Pu, Martin Renqiang Min, Zhe Gan, Lawrence Carin"
232,On Robust Concepts and Small Neural Nets,Invite to Workshop Track,"Amit Deshpande, Sushrut Karmalkar"
233,RenderGAN: Generating Realistic Labeled Data,Invite to Workshop Track,"Leon Sixt, Benjamin Wild, Tim Landgraf"
234,Learning Continuous Semantic Representations of Symbolic Expressions,Invite to Workshop Track,"Miltiadis Allamanis, Pankajan Chanthirasegaran, Pushmeet Kohli, Charles Sutton"
235,Semi-supervised deep learning by metric embedding,Invite to Workshop Track,"Elad Hoffer, Nir Ailon"
236,Modularized Morphing of Neural Networks,Invite to Workshop Track,"Tao Wei, Changhu Wang, Chang Wen Chen"
237,Short and Deep: Sketching and Neural Networks,Invite to Workshop Track,"Amit Daniely, Nevena Lazic, Yoram Singer, Kunal Talwar"
238,Modular Multitask Reinforcement Learning with Policy Sketches,Invite to Workshop Track,"Jacob Andreas, Dan Klein, Sergey Levine"
239,Development of JavaScript-based deep learning platform and application to distributed training,Invite to Workshop Track,"Masatoshi Hidaka, Ken Miura, Tatsuya Harada"
240,A Differentiable Physics Engine for Deep Learning in Robotics,Invite to Workshop Track,"Jonas Degrave, Michiel Hermans, Joni Dambre, Francis wyffels"
241,Compositional Kernel Machines,Invite to Workshop Track,"Robert Gens, Pedro Domingos"
242,Extrapolation and learning equations,Invite to Workshop Track,"Georg Martius, Christoph H. Lampert"
243,Adversarial examples in the physical world,Invite to Workshop Track,"Alexey Kurakin, Ian J. Goodfellow, Samy Bengio"
244,Charged Point Normalization: An Efficient Solution to the Saddle Point Problem,Invite to Workshop Track,Armen Aghajanyan
245,Energy-Based Spherical Sparse Coding,Reject,"Bailey Kong, Charless C. Fowlkes"
246,Revisiting Denoising Auto-Encoders,Reject,Luis Gonzalo Sanchez Giraldo
247,End-to-End Learnable Histogram Filters,Reject,"Rico Jonschkowski, Oliver Brock"
248,Rotation Plane Doubly Orthogonal Recurrent Neural Networks,Reject,"Zoe McCarthy, Andrew Bai, Xi Chen, Pieter Abbeel"
249,Near-Data Processing for Machine Learning,Reject,"Hyeokjun Choe, Seil Lee, Hyunha Nam, Seongsik Park, Seijoon Kim, Eui-Young Chung, Sungroh Yoon"
250,Investigating Recurrence and Eligibility Traces in Deep Q-Networks,Reject,"Jean Harb, Doina Precup"
251,Exploring the Application of Deep Learning for Supervised Learning Problems,Reject,"Jose Rozanec, Gilad Katz, Eui Chul Richard Shin, Dawn Song"
252,An Empirical Analysis of Deep Network Loss Surfaces,Reject,"Daniel Jiwoong Im, Michael Tao, Kristin Branson"
253,Unsupervised Learning Using Generative Adversarial Training And Clustering,Reject,"Vittal Premachandran, Alan L. Yuille"
254,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,Reject,"Haoran Tang, Rein Houthooft, Davis Foote, Adam Stooke, Xi Chen, Yan Duan, John Schulman, Filip De Turck, Pieter Abbeel"
255,Prototypical Networks for Few-shot Learning,Reject,"Jake Snell, Kevin Swersky, Richard Zemel"
256,On orthogonality and learning recurrent networks with long term dependencies,Reject,"Eugene Vorontsov, Chiheb Trabelsi, Samuel Kadoury, Chris Pal"
257,Deep Neural Networks and the Tree of Life,Reject,"Yan Wang, Kun He, John E. Hopcroft, Yu Sun"
258,Generative Adversarial Parallelization,Reject,"Daniel Jiwoong Im, He Ma, Chris Dongjoo Kim, Graham Taylor"
259,b-GAN: Unified Framework of Generative Adversarial Networks,Reject,"Masatosi Uehara, Issei Sato, Masahiro Suzuki, Kotaro Nakayama, Yutaka Matsuo"
260,Higher Order Recurrent Neural Networks,Reject,"Rohollah Soltani, Hui Jiang"
261,Generative Adversarial Networks as Variational Training of Energy Based Models,Reject,"Shuangfei Zhai, Yu Cheng, Rogerio Feris, Zhongfei Zhang"
262,Introducing Active Learning for CNN under the light of Variational Inference,Reject,"Melanie Ducoffe, Frederic Precioso"
263,An Information Retrieval Approach for Finding Dependent Subspaces of Multiple Views,Reject,"Ziyuan Lin, Jaakko Peltonen"
264,Character-aware Attention Residual Network for Sentence Representation,Reject,"Xin Zheng, Zhenzhou Wu"
265,Attentive Recurrent Comparators,Reject,"Pranav Shyam, Ambedkar Dukkipati"
266,CAN AI GENERATE LOVE ADVICE?: TOWARD NEURAL ANSWER GENERATION FOR NON-FACTOID QUESTIONS,Reject,"Makoto Nakatsuji, Hisashi Ito, Naruhiro Ikeda, Shota Sagara, Akihisa Fujita"
267,Boosted Generative Models,Reject,"Aditya Grover, Stefano Ermon"
268,Adversarial examples for generative models,Reject,"Jernej Kos, Ian Fischer, Dawn Song"
269,Towards Information-Seeking Agents,Reject,"Philip Bachman, Alessandro Sordoni, Adam Trischler"
270,Multi-label learning with the RNNs for Fashion Search,Reject,Taewan Kim
271,Differentiable Canonical Correlation Analysis,Reject,"Matthias Dorfer, Jan Schlüter, Gerhard Widmer"
272,Generating Long and Diverse Responses with Neural Conversation Models,Reject,"Louis Shao, Stephan Gouws, Denny Britz, Anna Goldie, Brian Strope, Ray Kurzweil"
273,Understanding intermediate layers using linear classifier probes,Reject,"Guillaume Alain, Yoshua Bengio"
274,Improving Invariance and Equivariance Properties of Convolutional Neural Networks,Reject,"Christopher Tensmeyer, Tony Martinez"
275,TreNet: Hybrid Neural Networks for Learning the Local Trend in Time Series,Reject,"Tao Lin, Tian Guo, Karl Aberer"
276,Intelligible Language Modeling with Input Switched Affine Networks,Reject,"Jakob Foerster, Justin Gilmer, Jan Chorowski, Jascha Sohl-dickstein, David Sussillo"
277,Sequence generation with a physiologically plausible model of handwriting and Recurrent Mixture Density Networks,Reject,"Daniel Berio, Memo Akten, Frederic Fol Leymarie, Mick Grierson, Réjean Plamondon"
278,CONTENT2VEC: SPECIALIZING JOINT REPRESENTATIONS OF PRODUCT IMAGES AND TEXT FOR THE TASK OF PRODUCT RECOMMENDATION,Reject,"Thomas Nedelec, Elena Smirnova, Flavian Vasile"
279,Out-of-class novelty generation: an experimental foundation,Reject,"Mehdi Cherti, Balázs Kégl, Akın Kazakçı"
280,A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks,Reject,"Kazuma Hashimoto, Caiming Xiong, Yoshimasa Tsuruoka, Richard Socher"
281,Representation Stability as a Regularizer for Improved Text Analytics Transfer Learning,Reject,"Matthew Riemer, Elham Khabiri, Richard Goodwin"
282,Extensions and Limitations of the Neural GPU,Reject,"Eric Price, Wojciech Zaremba, Ilya Sutskever"
283,DeepRebirth: A General Approach for Accelerating Deep Neural Network Execution on Mobile Devices,Reject,"Dawei Li, Xiaolong Wang, Deguang Kong, Mooi Choo Chuah"
284,Semi-Supervised Detection of Extreme Weather Events in Large Climate Datasets,Reject,"Evan Racah, Christopher Beckham, Tegan Maharaj, Prabhat, Christopher Pal"
285,Structured Sequence Modeling with Graph Convolutional Recurrent Networks,Reject,"Youngjoo Seo, Michaël Defferrard, Pierre Vandergheynst, Xavier Bresson"
286,End-to-End Answer Chunk Extraction and Ranking for Reading Comprehension,Reject,"Yang Yu, Wei Zhang, Bowen Zhou, Kazi Hasan, Mo Yu, Bing Xiang"
287,Sample Importance in Training Deep Neural Networks,Reject,"Tianxiang Gao, Vladimir Jojic"
288,Epitomic Variational Autoencoders,Reject,"Serena Yeung, Anitha Kannan, Yann Dauphin, Li Fei-Fei"
289,Learning Disentangled Representations in Deep Generative Models,Reject,"N. Siddharth, Brooks Paige, Alban Desmaison, Jan-Willem van de Meent, Frank Wood, Noah D. Goodman, Pushmeet Kohli, Philip H.S. Torr"
290,Low-rank passthrough neural networks,Reject,Antonio Valerio Miceli Barone
291,Inference and Introspection in Deep Generative Models of Sparse Data,Reject,"Rahul G. Krishnan, Matthew Hoffman"
292,Implicit ReasoNet: Modeling Large-Scale Structured Relationships with Shared Memory,Reject,"Yelong Shen*, Po-Sen Huang*, Ming-Wei Chang, Jianfeng Gao"
293,Neural Combinatorial Optimization with Reinforcement Learning,Reject,"Irwan Bello*, Hieu Pham*, Quoc V. Le, Mohammad Norouzi, Samy Bengio"
294,Wav2Letter: an End-to-End ConvNet-based Speech Recognition System,Reject,"Ronan Collobert, Christian Puhrsch, Gabriel Synnaeve"
295,Recurrent Neural Networks for Multivariate Time Series with Missing Values,Reject,"Zhengping Che, Sanjay Purushotham, Kyunghyun Cho, David Sontag, Yan Liu"
296,Group Sparse CNNs for Question Sentence Classification with Answer Sets,Reject,"Mingbo Ma, Liang Huang, Bing Xiang, Bowen Zhou"
297,NEWSQA: A MACHINE COMPREHENSION DATASET,Reject,"Adam Trischler, Tong Wang, Xingdi Yuan, Justin Harris, Alessandro Sordoni, Philip Bachman, Kaheer Suleman"
298,Gated-Attention Readers for Text Comprehension,Reject,"Bhuwan Dhingra, Hanxiao Liu, Zhilin Yang, William W. Cohen, Ruslan Salakhutdinov"
299,Neural Code Completion,Reject,"Chang Liu, Xin Wang, Richard Shin, Joseph E. Gonzalez, Dawn Song"
300,Here's My Point: Argumentation Mining with Pointer Networks,Reject,"Peter Potash, Alexey Romanov, Anna Rumshisky"
301,Tree-Structured Variational Autoencoder,Reject,"Richard Shin, Alexander A. Alemi, Geoffrey Irving, Oriol Vinyals"
302,Learning Approximate Distribution-Sensitive Data Structures,Reject,"Zenna Tavares, Armando Solar-Lezama"
303,Memory-augmented Attention Modelling for Videos,Reject,"Rasool Fakoor, Abdel-rahman Mohamed, Margaret Mitchell, Sing Bing Kang, Pushmeet Kohli"
304,Taming the waves: sine as activation function in deep neural networks,Reject,"Giambattista Parascandolo, Heikki Huttunen, Tuomas Virtanen"
305,Convolutional Neural Networks Generalization Utilizing the Data Graph Structure,Reject,"Yotam Hechtlinger, Purvasha Chakravarti, Jining Qin"
306,Evaluation of Defensive Methods for DNNs against Multiple Adversarial Evasion Models,Reject,"Xinyun Chen, Bo Li, Yevgeniy Vorobeychik"
307,Collaborative Deep Embedding via Dual Networks,Reject,"Yilei Xiong, Dahua Lin, Haoying Niu, JIefeng Cheng, Zhenguo Li"
308,Transformation-based Models of Video Sequences,Reject,"Joost van Amersfoort, Anitha Kannan, Marc'Aurelio Ranzato, Arthur Szlam, Du Tran, Soumith Chintala"
309,Neural Causal Regularization under the Independence of Mechanisms Assumption,Reject,"Mohammad Taha Bahadori, Krzysztof Chalupka, Edward Choi, Robert Chen, Walter F. Stewart, Jimeng Sun"
310,Recurrent Coevolutionary Feature Embedding Processes for Recommendation,Reject,"Hanjun Dai*, Yichen Wang*, Rakshit Trivedi, Le Song"
311,L-SR1: A Second Order Optimization Method for Deep Learning,Reject,"Vivek Ramamurthy, Nigel Duffy"
312,Inverse Problems in Computer Vision using  Adversarial  Imagination Priors,Reject,"Hsiao-Yu Fish Tung, Katerina Fragkiadaki"
313,Leveraging Asynchronicity in Gradient Descent for Scalable Deep Learning,Reject,"Jeff Daily, Abhinav Vishnu, Charles Siegel"
314,Dynamic Steerable Frame Networks,Reject,"Jörn-Henrik Jacobsen, Bert De Brabandere and Arnold W.M. Smeulders"
315,Adding Gradient Noise Improves Learning for Very Deep Networks,Reject,"Arvind Neelakantan, Luke Vilnis, Quoc V. Le, Lukasz Kaiser, Karol Kurach, Ilya Sutskever, James Martens"
316,Joint Training of Ratings and Reviews with Recurrent Recommender Networks,Reject,"Chao-Yuan Wu, Amr Ahmed, Alex Beutel, Alexander J. Smola"
317,Counterpoint by Convolution,Reject,"Cheng-Zhi Anna Huang, Tim Cooijmans, Adam Roberts, Aaron Courville, Douglas Eck"
318,The loss surface of residual networks: Ensembles and the role of batch normalization,Reject,"Etai Littwin, Lior Wolf"
319,Eigenvalues of the Hessian in Deep Learning: Singularity and Beyond,Reject,"Levent Sagun, Leon Bottou, Yann LeCun"
320,Local minima in training of deep networks,Reject,"Grzegorz Swirszcz, Wojciech Marian Czarnecki, Razvan Pascanu"
321,Communicating Hierarchical Neural Controllers for Learning Zero-shot Task Generalization,Reject,"Junhyuk Oh, Satinder Singh, Honglak Lee, Pushmeet Kohli"
322,The Preimage of Rectifier Network Activities,Reject,"Stefan Carlsson, Hossein Azizpour, Ali Razavian"
323,Neural Machine Translation with Latent Semantic of Image and Text,Reject,"Joji Toyama, Masanori Misono, Masahiro Suzuki, Kotaro Nakayama, Yutaka Matsuo"
324,Submodular Sum-product Networks for Scene Understanding,Reject,"Abram L. Friesen, Pedro Domingos"
325,Human perception in computer vision,Reject,Ron Dekel
326,Efficient Summarization with Read-Again and Copy Mechanism,Reject,"Wenyuan Zeng, Wenjie Luo, Sanja Fidler, Raquel Urtasun"
327,Layer Recurrent Neural Networks,Reject,"Weidi Xie, Alison Noble, Andrew Zisserman"
328,Gaussian Attention Model and Its Application to Knowledge Base Embedding and Question Answering,Reject,"Liwen Zhang, John Winn, Ryota Tomioka"
329,Cooperative Training of Descriptor and Generator Networks,Reject,"Jianwen Xie, Yang Lu, Ruiqi Gao, Song-Chun Zhu, Ying Nian Wu"
330,Exploring LOTS in Deep Neural Networks,Reject,"Andras Rozsa, Manuel Gunther, Terrance E. Boult"
331,Warped Convolutions: Efficient Invariance to Spatial Transformations,Reject,"Joao F. Henriques, Andrea Vedaldi"
332,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization,Reject,"Dan Hendrycks, Kevin Gimpel"
333,Rule Mining in Feature Space,Reject,"Stefano Teso, Andrea Passerini"
334,The Power of Sparsity in Convolutional Neural Networks,Reject,"Soravit Changpinyo, Mark Sandler, Andrey Zhmoginov"
335,Multi-view Generative Adversarial Networks,Reject,"Mickaël Chen, Ludovic Denoyer"
336,Beyond Bilingual: Multi-sense Word Embeddings using Multilingual Context,Reject,"Shyam Upadhyay, Kai-Wei Chang, James Zou, Matt Taddy, Adam Kalai"
337,Two Methods for Wild Variational Inference,Reject,"Qiang Liu, Yihao Feng"
338,Rethinking Numerical Representations for Deep Neural Networks,Reject,"Parker Hill, Babak Zamirai, Shengshuo Lu, Yu-Wei Chao, Michael Laurenzano, Mehrzad Samadi, Marios Papaefthymiou, Scott Mahlke, Thomas Wenisch, Jia Deng, Lingjia Tang, Jason Mars"
339,NEUROGENESIS-INSPIRED DICTIONARY LEARNING: ONLINE MODEL ADAPTION IN A CHANGING WORLD,Reject,"Sahil Garg, Irina Rish, Guillermo Cecchi, Aurelie Lozano"
340,Diverse Beam Search: Decoding Diverse Solutions from Neural Sequence Models,Reject,"Ashwin K Vijayakumar, Michael Cogswell, Ramprasaath R. Selvaraju, Qing Sun, Stefan Lee, David Crandall, Dhruv Batra"
341,Deep Generalized Canonical Correlation Analysis,Reject,"Adrian Benton, Huda Khayrallah, Biman Gujral, Drew Reisinger, Sheng Zhang, Raman Arora"
342,A Context-aware Attention Network for Interactive Question Answering,Reject,"Huayu Li, Martin Renqiang Min, Yong Ge, Asim Kadav"
343,Recurrent Inference Machines for Solving Inverse Problems,Reject,"Patrick Putzky, Max Welling"
344,Semi-Supervised Learning with Context-Conditional Generative Adversarial Networks,Reject,"Emily Denton, Sam Gross, Rob Fergus"
345,Investigating Different Context Types and Representations for Learning Word Embeddings,Reject,"Bofang Li, Tao Liu, Zhe Zhao, Buzhou Tang, Xiaoyong Du"
346,The Predictron: End-To-End Learning and Planning,Reject,"David Silver, Hado van Hasselt, Matteo Hessel, Tom Schaul, Arthur Guez, Tim Harley, Gabriel Dulac-Arnold, David Reichert, Neil Rabinowitz, Andre Barreto, Thomas Degris"
347,Bridging Nonlinearities and Stochastic Regularizers with Gaussian Error Linear Units,Reject,"Dan Hendrycks, Kevin Gimpel"
348,Alternating Direction Method of Multipliers for Sparse Convolutional Neural Networks,Reject,"Farkhondeh Kiaee, Christian Gagné, and Mahdieh Abbasi"
349,Inefficiency of stochastic gradient descent with larger mini-batches (and more learners),Reject,"Onkar Bhardwaj, Guojing Cong"
350,The Variational Walkback Algorithm,Reject,"Anirudh Goyal, Nan Rosemary Ke, Alex Lamb, Yoshua Bengio"
351,Distributed Transfer Learning for Deep Convolutional Neural Networks by Basic Probability Assignment,Reject,Arash Shahriari
352,A hybrid network: Scattering and Convnet,Reject,Edouard Oyallon
353,FastText.zip: Compressing text classification models,Reject,"Armand Joulin, Edouard Grave, Piotr Bojanowski, Matthijs Douze, Herve Jegou, Tomas Mikolov"
354,Encoding and Decoding Representations with Sum- and Max-Product Networks,Reject,"Antonio Vergari, Robert Peharz, Nicola Di Mauro, Floriana Esposito"
355,Sequence to Sequence Transduction with Hard Monotonic Attention,Reject,"Roee Aharoni, Yoav Goldberg"
356,Improving Stochastic Gradient Descent with Feedback,Reject,"Jayanth Koushik, Hiroaki Hayashi"
357,Neural Graph Machines: Learning Neural Networks Using Graphs,Reject,"Thang D. Bui, Sujith Ravi, Vivek Ramavajjala"
358,Dynamic Neural Turing Machine with Continuous and Discrete Addressing Schemes,Reject,"Caglar Gulcehre, Sarath Chandar, Kyunghyun Cho, Yoshua Bengio"
359,Is a picture worth a thousand words? A Deep Multi-Modal Fusion Architecture for Product Classification in e-commerce,Reject,"Tom Zahavy, Alessandro Magnani, Abhinandan Krishnan, Shie Mannor"
360,Generative Adversarial Networks for Image Steganography,Reject,"Denis Volkhonskiy, Boris Borisenko, Evgeny Burnaev"
361,MS MARCO: A Human-Generated MAchine Reading COmprehension Dataset,Reject,"Tri Nguyen, Mir Rosenberg, Xia Song, Jianfeng Gao, Saurabh Tiwary, Rangan Majumder and Li Deng"
362,OMG: Orthogonal Method of Grouping With Application of K-Shot Learning,Reject,"Haoqi Fan, Yu Zhang, Kris M. Kitani"
363,GRAM: Graph-based Attention Model for Healthcare Representation Learning,Reject,"Edward Choi, Mohammad Taha Bahadori, Le Song, Walter F. Stewart, Jimeng Sun"
364,Regularizing Neural Networks by Penalizing Confident Output Distributions,Reject,"Gabriel Pereyra, George Tucker, Jan Chorowski, Lukasz Kaiser, Geoffrey Hinton"
365,Options Discovery with Budgeted Reinforcement Learning,Reject,"Aurelia Léon, Ludovic Denoyer"
366,Unsupervised Learning of State Representations for Multiple Tasks,Reject,"Antonin Raffin, Sebastian Höfer, Rico Jonschkowski, Oliver Brock, Freek Stulp"
367,DRAGNN: A Transition-Based Framework for Dynamically Connected Neural Networks,Reject,"Lingpeng Kong, Chris Alberti, Daniel Andor, Ivan Bogatyy, David Weiss"
368,Joint Multimodal Learning with Deep Generative Models,Reject,"Masahiro Suzuki, Kotaro Nakayama, Yutaka Matsuo"
369,Hierarchical Memory Networks,Reject,"Sarath Chandar, Sungjin Ahn, Hugo Larochelle, Pascal Vincent, Gerald Tesauro, Yoshua Bengio"
370,Towards Understanding the Invertibility of Convolutional Neural Networks,Reject,"Anna C. Gilbert, Yi Zhang, Kibok Lee, Yuting Zhang, Honglak Lee"
371,Incremental Sequence Learning,Reject,Edwin D. de Jong
372,Boosting Image Captioning with Attributes,Reject,"Ting Yao, Yingwei Pan, Yehao Li, Zhaofan Qiu, Tao Mei"
373,Skip-graph: Learning graph embeddings with an encoder-decoder model,Reject,"John Boaz Lee, Xiangnan Kong"
374,Finding a Jack-of-All-Trades: An Examination of Semi-supervised Learning in Reading Comprehension,Reject,"Rudolf Kadlec, Ondřej Bajgar, Peter Hrincar, Jan Kleindienst"
375,DyVEDeep: Dynamic Variable Effort Deep Neural Networks,Reject,"Sanjay Ganapathy, Swagath Venkataramani, Balaraman Ravindran, Anand Raghunathan"
376,Deep Character-Level Neural Machine Translation By Learning Morphology,Reject,"Shenjian Zhao, Zhihua Zhang"
377,Linear Time Complexity Deep Fourier Scattering Network and Extension to Nonlinear Invariants,Reject,"Randall Balestriero, Herve Glotin"
378,Annealing Gaussian into ReLU: a New Sampling Strategy for Leaky-ReLU RBM,Reject,"Chun-Liang Li, Siamak Ravanbakhsh, Barnabas Poczos"
379,Boosted Residual Networks,Reject,"Alan Mosca, George D. Magoulas"
380,Multi-task learning with deep model based reinforcement learning,Reject,Asier Mujika
381,Opening the vocabulary of  neural language models with character-level word representations,Reject,"Matthieu Labeau, Alexandre Allauzen"
382,HFH: Homologically Functional Hashing for Compressing Deep Neural Networks,Reject,"Lei Shi, Shikun Feng, Zhifan Zhu"
383,The Incredible Shrinking Neural Network: New Perspectives on Learning Representations Through The Lens of Pruning,Reject,"Nikolas Wolfe, Aditya Sharma, Lukas Drude, Bhiksha Raj"
384,Efficient iterative policy optimization,Reject,Nicolas Le Roux
385,Tensorial Mixture Models,Reject,"Or Sharir, Ronen Tamari, Nadav Cohen, Amnon Shashua"
386,An Analysis of Deep Neural Network Models for Practical Applications,Reject,"Alfredo Canziani, Adam Paszke, Eugenio Culurciello"
387,Playing SNES in the Retro Learning Environment,Reject,"Nadav Bhonker, Shai Rozenberg, Itay Hubara"
388,Learning to Understand: Incorporating Local Contexts with Global Attention for Sentiment Classification,Reject,"Zhigang Yuan, Yuting Hu, Yongfeng Huang"
389,Fast Adaptation in Generative Models with Generative Matching Networks,Reject,"Sergey Bartunov, Dmitry P. Vetrov"
390,LipNet: End-to-End Sentence-level Lipreading,Reject,"Yannis M. Assael, Brendan Shillingford, Shimon Whiteson, Nando de Freitas"
391,A Simple yet Effective Method to Prune Dense Layers of Neural Networks,Reject,"Mohammad Babaeizadeh, Paris Smaragdis, Roy H. Campbell"
392,Emergent Predication Structure in Vector Representations of Neural Readers,Reject,"Hai Wang, Takeshi Onishi, Kevin Gimpel, David McAllester"
393,Riemannian Optimization for Skip-Gram Negative Sampling,Reject,"Alexander Fonarev, Alexey Grinchuk, Gleb Gusev, Pavel Serdyukov, Ivan Oseledets"
394,RL^2: Fast Reinforcement Learning via Slow Reinforcement Learning,Reject,"Yan Duan, John Schulman, Xi Chen, Peter L. Bartlett, Ilya Sutskever, Pieter Abbeel"
395,Deep Error-Correcting Output Codes,Reject,"Guoqiang Zhong, Yuchen Zheng, Peng Zhang, Mengqi Li, Junyu Dong"
396,Marginal Deep Architectures: Deep learning for Small and Middle Scale Applications,Reject,"Yuchen Zheng, Guoqiang Zhong, Junyu Dong"
397,Beyond Fine Tuning: A Modular Approach to Learning on Small Data,Reject,"Aryk Anderson, Kyle Shaffer, Artem Yankov, Court Corley, Nathan Hodas"
398,Classify or Select: Neural Architectures for Extractive Document Summarization,Reject,"Ramesh Nallapati, Bowen Zhou and Mingbo Ma"
399,Tartan: Accelerating Fully-Connected and Convolutional Layers in Deep Learning Networks by Exploiting Numerical Precision Variability,Reject,"Alberto Delmás Lascorz, Sayeh Sharify, Patrick Judd, Andreas Moshovos"
400,Machine Solver for Physics Word Problems,Reject,"Megan Leszczynski, Jose Moreira"
401,Learning Word-Like Units from Joint Audio-Visual Analylsis,Reject,"David Harwath, James R. Glass"
402,Multi-modal Variational Encoder-Decoders,Reject,"Iulian V. Serban, Alexander G. Ororbia II, Joelle Pineau, Aaron Courville"
403,Reference-Aware Language Models,Reject,"Zichao Yang, Phil Blunsom, Chris Dyer, Wang Ling"
404,Simple Black-Box Adversarial Perturbations for Deep Networks,Reject,"Nina Narodytska, Shiva Kasiviswanathan"
